wave,flux,sig
4416.10262467679,48256.1328125,2718.403564453125
4417.639697658186,48732.890625,2727.6552734375
4419.177392758992,44568.55078125,2628.19287109375
4420.715393622166,43197.61328125,2588.969482421875
4422.253020785759,48731.4921875,2733.606201171875
4423.790152580385,50936.6953125,2766.7236328125
4425.327955709532,48763.6796875,2731.72509765625
4426.86529991823,51625.45703125,2776.31787109375
4428.4028676585895,49209.734375,2718.531494140625
4429.94066660834,49537.421875,2733.3671875
4431.478330942478,45905.34375,2663.885009765625
4433.01615783039,43708.1953125,2606.394287109375
4434.554023559452,48349.60546875,2690.518798828125
4436.091336560653,52641.53125,2792.526611328125
4437.629538420368,45565.25390625,2640.437255859375
4439.167265134274,50127.92578125,2745.63818359375
4440.705205339235,49890.2265625,2732.86474609375
4442.243235944055,50382.125,2766.6513671875
4443.780814172939,48902.78125,2728.0146484375
4445.3190661534345,46262.77734375,2645.953369140625
4446.857346924452,50969.8203125,2758.0380859375
4448.394335242945,48942.69140625,2727.198974609375
4449.932488184257,49321.19921875,2734.682373046875
4451.470758409829,48072.37109375,2678.32373046875
4453.008357440203,48045.83203125,2712.569091796875
4454.546414629851,50283.6953125,2755.294921875
4456.08460825186,46932.9609375,2662.159423828125
4457.623239330328,49217.22265625,2723.90087890625
4459.1612099511285,44829.17578125,2614.6640625
4460.699189938528,54886.640625,2831.032958984375
4462.237278156719,49967.65625,2736.311767578125
4463.7753313446265,47359.2265625,2689.1123046875
4465.31335872626,48527.453125,2721.59521484375
4466.8521346215575,46484.2421875,2649.89208984375
4468.390100822379,49897.06640625,2736.744384765625
4469.928164490123,45140.6796875,2620.016357421875
4471.466307653942,43902.35546875,2615.967041015625
4473.005005236048,46048.87109375,2642.257080078125
4474.543320018207,52373.8828125,2773.260986328125
4476.081782654422,59284.24609375,2935.881103515625
4477.620160407947,52748.58203125,2810.671142578125
4479.158713224733,48915.12109375,2716.4013671875
4480.697066361273,48117.0625,2718.283203125
4482.235378681044,49631.93359375,2722.953125
4483.773961032953,46187.74609375,2650.787841796875
4485.312584401234,50318.94140625,2744.611572265625
4486.850903191719,44488.46875,2601.690185546875
4488.38956094431,50597.9375,2735.8212890625
4489.927787701513,44886.16015625,2608.69140625
4491.466819033284,47476.40234375,2672.02880859375
4493.005318202391,48327.09375,2680.691650390625
4494.544121727606,53484.578125,2786.7041015625
4496.082798507388,53341.015625,2795.77490234375
4497.6212984456015,48830.48046875,2671.283935546875
4499.16003289076,46157.95703125,2638.776123046875
4500.699031228884,47674.05859375,2660.1416015625
4502.237463179617,47376.7578125,2660.07568359375
4503.776348947409,50049.0,2709.547119140625
4505.314944521471,47615.5390625,2650.90966796875
4506.85395983805,46908.33984375,2664.56103515625
4508.392991788604,46164.90234375,2625.719482421875
4509.931933203957,45926.37890625,2625.210205078125
4511.470505569239,48987.890625,2700.729736328125
4513.009700044465,49878.09765625,2713.6474609375
4514.548296108143,44581.62109375,2594.986328125
4516.087337560441,45746.8125,2611.443359375
4517.6263966757615,45945.0078125,2615.877197265625
4519.165934414474,44394.78125,2606.72216796875
4520.704438616383,44535.90625,2574.19775390625
4522.24365897374,43986.984375,2560.525146484375
